Fall,College,Major Name,Term Code,Department,Major Code,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Asian,Legacy Advising Code,Legacy Department Code,Year Total,StudentsPerPop,StudentsPer100
1980,Fine and Applied Arts,Graphic Design,0,0,0,164,40,124,1,150,11,0,2,0,0,0,0,0,0,2410,2410,21542,0.00761303500,0.7613035
1980,Fine and Applied Arts,Industrial Design,0,0,0,97,56,41,0,81,5,9,2,0,0,0,0,0,0,2410,2410,21542,0.00450283168,0.450283168
1980,Fine and Applied Arts,Landscape Architecture,0,0,0,158,97,61,2,149,1,2,1,0,0,0,3,0,0,4840,4840,21542,0.00733450933,0.733450933
1980,Fine and Applied Arts,MUS-VOICE,0,0,0,44,15,29,0,41,0,1,0,0,0,0,2,0,0,2425,2425,21542,0.00204252159,0.204252159
1980,Fine and Applied Arts,MUSIC-COMP,0,0,0,19,16,3,0,19,0,0,0,0,0,0,0,0,0,2425,2425,21542,0.00088199796,0.088199796
1980,Fine and Applied Arts,MUSIC-INST,0,0,0,105,54,51,0,87,9,1,1,1,0,0,6,0,0,2425,2425,21542,0.00487419924,0.487419924
1980,Fine and Applied Arts,Music,0,0,0,251,144,107,7,213,4,8,5,0,0,0,14,0,0,2425,2425,21542,0.01165165723,1.165165723
1980,Fine and Applied Arts,Music Education,0,0,0,309,130,179,2,285,3,5,3,2,0,0,9,0,0,4850,4850,21542,0.01434407205,1.434407205
1980,Fine and Applied Arts,Music History,0,0,0,4,1,3,0,3,0,0,0,0,0,0,1,0,0,2425,2425,21542,0.00018568378,0.018568378
1980,Fine and Applied Arts,PERFORM ST,0,0,0,24,18,6,0,24,0,0,0,0,0,0,0,0,0,2430,2430,21542,0.00111410268,0.111410268
1980,Fine and Applied Arts,TCH DANCE,0,0,0,8,0,8,0,7,0,1,0,0,0,0,0,0,0,2418,2418,21542,0.00037136756,0.037136756
1980,Fine and Applied Arts,Theatre,0,0,0,29,17,12,0,29,0,0,0,0,0,0,0,0,0,2430,2430,21542,0.00134620741,0.134620741
1980,Fine and Applied Arts,UNCLASS,0,0,0,65,22,43,0,58,0,1,0,0,0,0,6,0,0,2401,2401,21542,0.00301736143,0.301736143
1980,Fine and Applied Arts,Urban Planning,0,0,310,92,49,43,1,76,2,7,0,0,0,0,6,0,0,4896,4896,21542,0.00427072695,0.427072695
1980,LAS,Anthropology,0,0,0,78,42,36,2,52,3,1,4,0,0,0,16,0,0,3207,3207,21542,0.00362083372,0.362083372
1980,LAS,Asian Studies,0,0,0,17,10,7,1,10,4,0,0,1,0,0,1,0,0,3208,3208,21542,0.00078915607,0.078915607
1980,LAS,Astronomy,0,0,0,16,13,3,1,14,1,0,0,0,0,0,0,0,0,3210,3210,21542,0.00074273512,0.074273512
1980,LAS,Atmospheric Sciences,0,0,0,22,17,5,0,11,2,0,0,0,0,0,9,0,0,3212,3212,21542,0.00102126079,0.102126079
1980,LAS,Biochemistry,0,0,0,86,66,20,0,76,2,0,1,1,0,0,6,0,0,3285,3285,21542,0.00399220128,0.399220128
1980,LAS,Biology,0,0,0,139,83,56,3,121,3,2,1,0,0,0,9,0,0,3219,3219,21542,0.00645251137,0.645251137
1980,LAS,Biophysics & Computnl Biology,0,0,0,21,18,3,0,17,1,0,0,0,0,0,3,0,0,3213,3262,21542,0.00097483985,0.097483985
1980,LAS,Chemical Engineering,0,0,600,530,419,111,1,451,30,22,6,1,0,0,19,0,0,6576,6576,21542,0.02460310092,2.460310092
1980,LAS,Chemical Physics,0,0,0,6,5,1,0,6,0,0,0,0,0,0,0,0,0,3286,3286,21542,0.00027852567,0.027852567
1980,LAS,Chemistry,0,0,670,531,408,123,3,483,16,3,2,0,0,0,24,0,0,6572,6572,21542,0.02464952186,2.464952186
1980,LAS,Classical Philology,0,0,0,9,7,2,0,8,0,0,0,0,0,0,1,0,0,3222,3222,21542,0.00041778851,0.041778851
1980,LAS,Classics,0,0,616,9,8,1,0,8,0,0,0,0,0,0,1,0,0,6444,6444,21542,0.00041778851,0.041778851
1980,LAS,Comparative Literature,0,0,1120,42,22,20,1,22,0,0,2,0,0,0,17,0,0,3224,3224,21542,0.00194967970,0.19496797
1980,LAS,English,0,0,311,108,50,58,1,99,1,1,0,0,0,0,6,0,0,3225,3225,21542,0.00501346207,0.501346207
1980,LAS,Entomology,0,0,0,30,23,7,1,25,1,0,0,0,0,0,3,0,0,3228,3228,21542,0.00139262835,0.139262835
1980,LAS,French,0,0,0,40,7,33,4,30,0,0,2,0,0,0,4,0,0,3231,3231,21542,0.00185683781,0.185683781
1980,LAS,GEN CURR,0,0,0,0,0,0,4,0,116,204,62,3,0,0,8,0,0,3201,3201,21542,0.00000000000,0
1980,LAS,Genetics,0,0,0,6,3,3,0,4,0,0,0,0,0,0,2,0,0,3253,3253,21542,0.00027852567,0.027852567
1980,LAS,Geography,0,0,0,43,30,13,0,33,0,0,0,0,0,0,10,0,0,3243,3243,21542,0.00199610064,0.199610064
1980,LAS,Geology,0,0,0,115,79,36,0,98,0,0,0,0,0,0,17,0,0,6492,6492,21542,0.00533840869,0.533840869
1980,LAS,German,0,0,0,26,13,13,2,21,0,0,0,0,0,0,3,0,0,3249,3249,21542,0.00120694457,0.120694457
1980,LAS,HR&FS,0,0,0,61,0,61,0,56,3,1,0,0,0,0,1,0,0,1560,3201,21542,0.00283167765,0.283167765
1980,LAS,History,0,0,0,82,46,36,3,71,0,0,0,1,0,0,7,0,0,3250,3250,21542,0.00380651750,0.38065175
1980,LAS,Italian,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,3272,3272,21542,0.00009284189,0.009284189
1980,LAS,LAS TCH MATH,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3254,3254,21542,0.00004642095,0.004642095
1980,LAS,Linguistics,0,0,0,63,32,31,1,30,5,0,2,0,0,0,25,0,0,3252,3252,21542,0.00292451954,0.292451954
1980,LAS,Mathematics,0,0,0,139,119,20,0,107,5,0,0,0,0,0,27,0,0,3254,3254,21542,0.00645251137,0.645251137
1980,LAS,Microbiology,0,0,0,59,34,25,1,51,0,1,0,1,0,0,5,0,0,3255,3255,21542,0.00273883576,0.273883576
1980,LAS,Molecular & Integrative Physi,0,0,0,57,43,14,1,41,3,1,0,0,0,0,11,0,0,3260,3260,21542,0.00264599387,0.264599387
1980,LAS,PRE-JOURN,0,0,0,57,24,33,0,54,0,3,0,0,0,0,0,0,0,3201,3201,21542,0.00264599387,0.264599387
1980,LAS,PRE-MED,0,0,0,28,18,10,0,23,4,0,1,0,0,0,0,0,0,3201,3201,21542,0.00129978646,0.129978646
1980,LAS,PUB ADMIN,0,0,0,19,12,7,0,13,0,6,0,0,0,0,0,0,0,3263,3263,21542,0.00088199796,0.088199796
1980,LAS,Philosophy,0,0,0,33,28,5,1,29,0,0,1,1,0,0,1,0,0,3257,3257,21542,0.00153189119,0.153189119
