Subject,Number,Primary Instructor,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Total Students,Average GPA,Variance,F_cum,D-_cum,D_cum,D+_cum,C-_cum,C_cum,C+_cum,B-_cum,B_cum,B+_cum,A-_cum,A_cum,A+_cum,25PCT,25_percent,75PCT,75_percent,12.5PCT,12.5_percent,87.5PCT,87.5_percent
PHYS,213,"Hughes, Taylor L",Univ Physics: Thermal Physics,41,49,45,54,44,53,46,56,48,29,27,33,16,0,541,2.524029575,1.055355288,2.957486137,9.057301294,14.04805915,19.40850277,28.28096118,38.63216266,47.1349353,56.93160813,65.06469501,75.04621072,83.36414048,92.42144177,100,C-_cum,1.67,B+_cum,3.33,D_cum,1,A_cum,4
PHYS,213,"Kwiat, Paul G",Univ Physics: Thermal Physics,519,497,393,384,414,475,467,444,347,232,164,221,116,18,4673,2.668844425,1.01894338,2.482345388,7.211641344,10.72116413,15.68585491,23.11149155,32.61288252,42.60646266,52.77123903,61.63064413,69.84806334,78.25807832,88.89364434,100,C_cum,2,A-_cum,3.67,D+_cum,1.33,A_cum,4
PHYS,213,"Schroeder, Noah",Univ Physics: Thermal Physics,8,9,2,4,3,4,11,6,3,1,0,4,1,0,56,2.767678571,1.032777742,1.785714286,8.928571429,8.928571429,10.71428571,16.07142857,26.78571429,46.42857143,53.57142857,58.92857143,66.07142857,69.64285714,85.71428571,100,C_cum,2,A_cum,4,C-_cum,1.67,A+_cum,4
PHYS,213,"Thaler, Jon J",Univ Physics: Thermal Physics,43,42,37,41,58,47,50,29,26,33,20,11,20,4,457,2.627986871,0.916867064,4.376367615,6.783369803,11.15973742,18.38074398,24.07002188,30.41575492,41.35667396,51.64113786,64.33260394,73.30415755,81.40043764,90.59080963,100,C_cum,2,A-_cum,3.67,D+_cum,1.33,A_cum,4
PHYS,213,"Wagner, Lucas",Univ Physics: Thermal Physics,45,52,37,33,25,42,35,33,32,23,12,23,14,0,406,2.659630542,1.09368463,3.448275862,9.113300493,12.06896552,17.73399015,25.61576355,33.74384236,42.36453202,52.70935961,58.86699507,66.99507389,76.10837438,88.91625616,100,C-_cum,1.67,A-_cum,3.67,D+_cum,1.33,A_cum,4
PHYS,213,"Wagner, Lucas K",Univ Physics: Thermal Physics,58,62,57,37,40,50,35,37,38,22,18,15,11,1,480,2.796291667,1.005938086,2.291666667,5.416666667,9.166666667,13.75,21.66666667,29.375,36.66666667,47.08333333,55.41666667,63.125,75,87.91666667,100,C_cum,2,A_cum,4,D+_cum,1.33,A_cum,4
PHYS,214,"Budakian, Raffi",Univ Physics: Quantum Physics,109,148,135,200,271,174,233,145,157,64,54,47,30,34,1767,2.678392756,0.796441654,1.697792869,4.357668364,7.413695529,11.03565365,19.92076967,28.12676853,41.31295982,51.16015846,66.49688738,77.81550651,85.45557442,93.83135257,100,C_cum,2,B+_cum,3.33,C-_cum,1.67,A_cum,4
PHYS,214,"Clegg, Robert M",Univ Physics: Quantum Physics,8,21,21,13,35,27,24,15,21,10,3,5,4,2,207,2.676763285,0.765453549,1.93236715,4.347826087,5.797101449,10.62801932,20.77294686,28.01932367,39.61352657,52.65700483,69.56521739,75.84541063,85.99033816,96.1352657,100,C_cum,2,B+_cum,3.33,C-_cum,1.67,A_cum,4
PHYS,214,"Eckstein, James N",Univ Physics: Quantum Physics,104,210,152,138,150,129,105,102,56,44,34,27,14,11,1265,2.941177866,0.842141948,1.106719368,3.241106719,5.928853755,9.407114625,13.83399209,21.8972332,30.19762846,40.39525692,52.25296443,63.16205534,75.17786561,91.77865613,100,C+_cum,2.33,A-_cum,3.67,C-_cum,1.67,A_cum,4
PHYS,214,"Gadway, Bryce",Univ Physics: Quantum Physics,51,61,48,70,81,48,30,47,17,13,10,4,5,5,485,2.991092784,0.691000702,1.030927835,1.855670103,3.917525773,6.597938144,10.10309278,19.79381443,25.97938144,35.87628866,52.57731959,67.01030928,76.90721649,89.48453608,100,C+_cum,2.33,A-_cum,3.67,C_cum,2,A_cum,4
PHYS,214,"Giannetta, Russell W",Univ Physics: Quantum Physics,4,3,1,3,7,3,8,6,1,1,1,0,0,0,38,2.771315789,0.638527216,0,0,2.631578947,5.263157895,7.894736842,23.68421053,44.73684211,52.63157895,71.05263158,78.94736842,81.57894737,89.47368421,100,C+_cum,2.33,B+_cum,3.33,C_cum,2,A_cum,4
